stamp,altitude,depth,pressure,temperature
1684869334.70173,-1171.014160156,1.478369355,115840,18.260000229
1684869334.74381,-1192.656616211,1.507259369,116130.0078125,18.260000229
1684869334.782,-1225.409912109,1.551092386,116569.9921875,18.260000229
1684869334.8217,-1236.552856445,1.566035509,116719.9921875,18.260000229
1684869334.86132,-1236.552856445,1.566035509,116719.9921875,18.260000229
1684869334.90176,-1258.064208984,1.594925404,117010,18.270000458
1684869334.94305,-1290.618286133,1.63875854,117450,18.260000229
1684869334.98293,-1301.694458008,1.653701544,117600,18.260000229
1684869335.02248,-1312.021484375,1.667648435,117740,18.260000229
1684869335.06165,-1344.412353516,1.711481571,118180.0078125,18.260000229
1684869335.10191,-1365.707641602,1.740371466,118469.9921875,18.270000458
1684869335.14268,-1386.96081543,1.769261479,118760,18.260000229
1684869335.18276,-1397.937011719,1.784204602,118910,18.270000458
1684869335.22153,-1419.127441406,1.813094497,119200,18.270000458
1684869335.2613,-1430.070922852,1.82803762,119350,18.270000458
1684869335.30256,-1451.197265625,1.856927633,119640,18.260000229
1684869335.34333,-1451.197265625,1.856927633,119640,18.260000229
1684869335.38202,-1483.172607422,1.900760651,120080.0078125,18.260000229
1684869335.42202,-1515.051513672,1.944593668,120519.9921875,18.270000458
1684869335.46301,-1515.051513672,1.944593668,120519.9921875,18.260000229
1684869335.50263,-1525.175537109,1.958540559,120660,18.260000229
1684869335.54222,-1556.932250977,2.002373695,121100,18.260000229
1684869335.58199,-1577.811401367,2.03126359,121390,18.260000229
1684869335.62265,-1556.932250977,2.002373695,121100,18.260000229
1684869335.66284,-1588.595703125,2.046206713,121540,18.260000229
1684869335.70165,-1588.595703125,2.046206713,121540,18.260000229
1684869335.74198,-1599.368408203,2.061149836,121690,18.260000229
1684869335.78152,-1620.165527344,2.09003973,121980.0078125,18.260000229
1684869335.82171,-1609.413574219,2.075096607,121830.0078125,18.260000229
1684869335.86325,-1630.190551758,2.103986502,122119.9921875,18.260000229
1684869335.90295,-1630.907592773,2.104982853,122130.0078125,18.25
1684869335.94266,-1640.922729492,2.118929625,122269.9921875,18.260000229
1684869336.02318,-1651.643310547,2.133872747,122419.9921875,18.25
1684869336.06251,-1692.998291016,2.191652775,123000,18.25
1684869336.10264,-1661.640014648,2.147819757,122560,18.25
1684869336.1459,-1692.998291016,2.191652775,123000,18.25
1684869336.18153,-1672.340087891,2.162762642,122710,18.239999771
1684869336.22151,-1683.030517578,2.177705765,122860,18.239999771
1684869336.26127,-1683.030517578,2.177705765,122860,18.239999771
1684869336.30208,-1713.616088867,2.220542669,123290,18.239999771
1684869336.34344,-1713.616088867,2.220542669,123290,18.239999771
1684869336.38259,-1713.616088867,2.220542669,123290,18.239999771
1684869336.422,-1703.667358398,2.206595898,123150,18.239999771
1684869336.46151,-1703.667358398,2.206595898,123150,18.239999771
1684869336.50609,-1703.667358398,2.206595898,123150,18.239999771
1684869336.5428,-1703.667358398,2.206595898,123150,18.239999771
1684869336.58227,-1713.616088867,2.220542669,123290,18.239999771
1684869336.62171,-1692.998291016,2.191652775,123000,18.229999542
1684869336.6614,-1692.998291016,2.191652775,123000,18.229999542
1684869336.70213,-1692.998291016,2.191652775,123000,18.229999542
1684869336.74257,-1714.325927734,2.221538782,123300,18.229999542
1684869336.78311,-1703.667358398,2.206595898,123150,18.229999542
1684869336.8224,-1692.998291016,2.191652775,123000,18.219999313
1684869336.86179,-1692.998291016,2.191652775,123000,18.229999542
1684869336.9016,-1703.667358398,2.206595898,123150,18.219999313
1684869336.94315,-1683.030517578,2.177705765,122860,18.219999313
1684869336.98251,-1672.340087891,2.162762642,122710,18.219999313
1684869337.02208,-1703.667358398,2.206595898,123150,18.209999084
1684869337.0614,-1672.340087891,2.162762642,122710,18.219999313
1684869337.10119,-1683.030517578,2.177705765,122860,18.209999084
1684869337.1426,-1683.030517578,2.177705765,122860,18.209999084
1684869337.18277,-1662.353271484,2.14881587,122569.9921875,18.200000763
1684869337.22268,-1651.643310547,2.133872747,122419.9921875,18.200000763
1684869337.2626,-1651.643310547,2.133872747,122419.9921875,18.200000763
1684869337.30229,-1662.353271484,2.14881587,122569.9921875,18.200000763
1684869337.34224,-1662.353271484,2.14881587,122569.9921875,18.200000763
1684869337.38153,-1662.353271484,2.14881587,122569.9921875,18.200000763
1684869337.42154,-1692.998291016,2.191652775,123000,18.200000763
1684869337.46185,-1683.030517578,2.177705765,122860,18.200000763
1684869337.50259,-1651.643310547,2.133872747,122419.9921875,18.190000534
1684869337.54284,-1662.353271484,2.14881587,122569.9921875,18.200000763
1684869337.58235,-1672.340087891,2.162762642,122710,18.190000534
1684869337.62258,-1641.638183594,2.119925976,122280.0078125,18.180000305
1684869337.66226,-1672.340087891,2.162762642,122710,18.180000305
1684869337.70271,-1662.353271484,2.14881587,122569.9921875,18.180000305
1684869337.74259,-1651.643310547,2.133872747,122419.9921875,18.180000305
1684869337.7819,-1630.907592773,2.104982853,122130.0078125,18.180000305
1684869337.82191,-1683.030517578,2.177705765,122860,18.170000076
1684869337.8615,-1641.638183594,2.119925976,122280.0078125,18.180000305
1684869337.90166,-1651.643310547,2.133872747,122419.9921875,18.170000076
1684869337.94182,-1651.643310547,2.133872747,122419.9921875,18.170000076
1684869337.98135,-1641.638183594,2.119925976,122280.0078125,18.170000076
1684869338.02209,-1651.643310547,2.133872747,122419.9921875,18.170000076
1684869338.06191,-1651.643310547,2.133872747,122419.9921875,18.170000076
1684869338.10191,-1641.638183594,2.119925976,122280.0078125,18.149999619
1684869338.14192,-1651.643310547,2.133872747,122419.9921875,18.159999847
1684869338.1826,-1651.643310547,2.133872747,122419.9921875,18.159999847
1684869338.22207,-1662.353271484,2.14881587,122569.9921875,18.159999847
